Tempo,Corpos,Cores,Movimento
0.295514, 200, 1, 100
0.277436, 200, 1, 100
0.268663, 200, 1, 100
0.280104, 200, 1, 100
0.289993, 200, 1, 100
0.295595, 200, 1, 100
0.277933, 200, 1, 100
0.28211, 200, 1, 100
0.290752, 200, 1, 100
0.294436, 200, 1, 100
0.426588, 300, 1, 100
0.429083, 300, 1, 100
0.439312, 300, 1, 100
0.432739, 300, 1, 100
0.441316, 300, 1, 100
0.429962, 300, 1, 100
0.453675, 300, 1, 100
0.463823, 300, 1, 100
0.446228, 300, 1, 100
0.441833, 300, 1, 100
0.43045, 300, 1, 100
0.43742, 300, 1, 100
0.433818, 300, 1, 100
0.423639, 300, 1, 100
0.425157, 300, 1, 100
0.435889, 300, 1, 100
0.431208, 300, 1, 100
0.433014, 300, 1, 100
0.45388, 300, 1, 100
0.429264, 300, 1, 100
0.430287, 300, 1, 100
0.434191, 300, 1, 100
0.455311, 300, 1, 100
0.451998, 300, 1, 100
0.438182, 300, 1, 100
0.437326, 300, 1, 100
0.445881, 300, 1, 100
0.439782, 300, 1, 100
0.431349, 300, 1, 100
0.455118, 300, 1, 100
0.436441, 300, 1, 100
0.435622, 300, 1, 100
0.433012, 300, 1, 100
0.404481, 300, 1, 100
0.465323, 300, 1, 100
0.421188, 300, 1, 100
0.437638, 300, 1, 100
0.450023, 300, 1, 100
0.409972, 300, 1, 100
0.431678, 300, 1, 100
0.446038, 300, 1, 100
0.451572, 300, 1, 100
0.426673, 300, 1, 100
0.444296, 300, 1, 100
0.426889, 300, 1, 100
0.437381, 300, 1, 100
0.43726, 300, 1, 100
0.448456, 300, 1, 100
0.426817, 300, 1, 100
0.410829, 300, 1, 100
0.560224, 400, 1, 100
0.58242, 400, 1, 100
0.583854, 400, 1, 100
0.570765, 400, 1, 100
0.571725, 400, 1, 100
0.606791, 400, 1, 100
0.565728, 400, 1, 100
0.575966, 400, 1, 100
0.573411, 400, 1, 100
0.585, 400, 1, 100
0.57077, 400, 1, 100
0.54396, 400, 1, 100
0.56564, 400, 1, 100
0.589514, 400, 1, 100
0.577576, 400, 1, 100
0.574262, 400, 1, 100
0.565213, 400, 1, 100
0.584423, 400, 1, 100
0.549001, 400, 1, 100
0.574239, 400, 1, 100
0.554249, 400, 1, 100
0.58, 400, 1, 100
0.575206, 400, 1, 100
0.564967, 400, 1, 100
0.581931, 400, 1, 100
0.568699, 400, 1, 100
0.566877, 400, 1, 100
0.587719, 400, 1, 100
0.561994, 400, 1, 100
0.565492, 400, 1, 100
0.567465, 400, 1, 100
0.581473, 400, 1, 100
0.572269, 400, 1, 100
0.58512, 400, 1, 100
0.562039, 400, 1, 100
0.560853, 400, 1, 100
0.58394, 400, 1, 100
0.599368, 400, 1, 100
0.588386, 400, 1, 100
0.568881, 400, 1, 100
0.59126, 400, 1, 100
0.571541, 400, 1, 100
0.568665, 400, 1, 100
0.588893, 400, 1, 100
0.562678, 400, 1, 100
0.548793, 400, 1, 100
0.563764, 400, 1, 100
0.571841, 400, 1, 100
0.590626, 400, 1, 100
0.566777, 400, 1, 100
0.718059, 500, 1, 100
0.702552, 500, 1, 100
0.718362, 500, 1, 100
0.696276, 500, 1, 100
0.712795, 500, 1, 100
0.721287, 500, 1, 100
0.706088, 500, 1, 100
0.720442, 500, 1, 100
0.687855, 500, 1, 100
0.715514, 500, 1, 100
0.715047, 500, 1, 100
0.725286, 500, 1, 100
0.699894, 500, 1, 100
0.697704, 500, 1, 100
0.734141, 500, 1, 100
0.696144, 500, 1, 100
0.714265, 500, 1, 100
0.715076, 500, 1, 100
0.721484, 500, 1, 100
0.747548, 500, 1, 100
0.715475, 500, 1, 100
0.722723, 500, 1, 100
0.709466, 500, 1, 100
0.707647, 500, 1, 100
0.712556, 500, 1, 100
0.732727, 500, 1, 100
0.688167, 500, 1, 100
0.710574, 500, 1, 100
0.748575, 500, 1, 100
0.756369, 500, 1, 100
0.699706, 500, 1, 100
0.712705, 500, 1, 100
0.686052, 500, 1, 100
0.731386, 500, 1, 100
0.692051, 500, 1, 100
0.726798, 500, 1, 100
0.704984, 500, 1, 100
0.711964, 500, 1, 100
0.705123, 500, 1, 100
0.702514, 500, 1, 100
0.686536, 500, 1, 100
0.683526, 500, 1, 100
0.66772, 500, 1, 100
0.696041, 500, 1, 100
0.672601, 500, 1, 100
0.688195, 500, 1, 100
0.686889, 500, 1, 100
0.712114, 500, 1, 100
0.702458, 500, 1, 100
0.68244, 500, 1, 100
0.829829, 600, 1, 100
0.901714, 600, 1, 100
0.832041, 600, 1, 100
0.896533, 600, 1, 100
0.866375, 600, 1, 100
0.827621, 600, 1, 100
0.872185, 600, 1, 100
0.860316, 600, 1, 100
0.861646, 600, 1, 100
0.830971, 600, 1, 100
0.865638, 600, 1, 100
0.872665, 600, 1, 100
0.844743, 600, 1, 100
0.853434, 600, 1, 100
0.860028, 600, 1, 100
0.85247, 600, 1, 100
0.83957, 600, 1, 100
0.838673, 600, 1, 100
0.837685, 600, 1, 100
0.8565, 600, 1, 100
0.843501, 600, 1, 100
0.874096, 600, 1, 100
0.829075, 600, 1, 100
0.82539, 600, 1, 100
0.858897, 600, 1, 100
0.859792, 600, 1, 100
0.826104, 600, 1, 100
0.850969, 600, 1, 100
0.876298, 600, 1, 100
0.820055, 600, 1, 100
0.849971, 600, 1, 100
0.872235, 600, 1, 100
0.895325, 600, 1, 100
0.848862, 600, 1, 100
0.823302, 600, 1, 100
0.86136, 600, 1, 100
0.845685, 600, 1, 100
0.806659, 600, 1, 100
0.849673, 600, 1, 100
0.852734, 600, 1, 100
0.855546, 600, 1, 100
0.836105, 600, 1, 100
0.859764, 600, 1, 100
0.833802, 600, 1, 100
0.827576, 600, 1, 100
0.845355, 600, 1, 100
0.834842, 600, 1, 100
0.832217, 600, 1, 100
0.862512, 600, 1, 100
0.82425, 600, 1, 100
0.148415, 100, 1, 100
0.15301, 100, 1, 100
0.147644, 100, 1, 100
0.151821, 100, 1, 100
0.146429, 100, 1, 100
0.145439, 100, 1, 100
0.147549, 100, 1, 100
0.142229, 100, 1, 100
0.143306, 100, 1, 100
0.150472, 100, 1, 100
0.137436, 100, 1, 100
0.147407, 100, 1, 100
0.140851, 100, 1, 100
0.137229, 100, 1, 100
0.148535, 100, 1, 100
0.146334, 100, 1, 100
0.1397, 100, 1, 100
0.147962, 100, 1, 100
0.152581, 100, 1, 100
0.143867, 100, 1, 100
0.14004, 100, 1, 100
0.139068, 100, 1, 100
0.150391, 100, 1, 100
0.128204, 100, 1, 100
0.134809, 100, 1, 100
0.149766, 100, 1, 100
0.158765, 100, 1, 100
0.138877, 100, 1, 100
0.138588, 100, 1, 100
0.148153, 100, 1, 100
0.140302, 100, 1, 100
0.149948, 100, 1, 100
0.135451, 100, 1, 100
0.149908, 100, 1, 100
0.143791, 100, 1, 100
0.143865, 100, 1, 100
0.140859, 100, 1, 100
0.149677, 100, 1, 100
0.14464, 100, 1, 100
0.138597, 100, 1, 100
0.136566, 100, 1, 100
0.143021, 100, 1, 100
0.148896, 100, 1, 100
0.139778, 100, 1, 100
0.143293, 100, 1, 100
0.144943, 100, 1, 100
0.143874, 100, 1, 100
0.143637, 100, 1, 100
0.141317, 100, 1, 100
0.14494, 100, 1, 100
0.276904, 200, 1, 100
0.304457, 200, 1, 100
0.276431, 200, 1, 100
0.286848, 200, 1, 100
0.28988, 200, 1, 100
0.296018, 200, 1, 100
0.299543, 200, 1, 100
0.290176, 200, 1, 100
0.291689, 200, 1, 100
0.29938, 200, 1, 100
0.3011, 200, 1, 100
0.291199, 200, 1, 100
0.281888, 200, 1, 100
0.287631, 200, 1, 100
0.317269, 200, 1, 100
0.303253, 200, 1, 100
0.29885, 200, 1, 100
0.295267, 200, 1, 100
0.28466, 200, 1, 100
0.305192, 200, 1, 100
0.28361, 200, 1, 100
0.281001, 200, 1, 100
0.285778, 200, 1, 100
0.300455, 200, 1, 100
0.306254, 200, 1, 100
0.300377, 200, 1, 100
0.289259, 200, 1, 100
0.279659, 200, 1, 100
0.275578, 200, 1, 100
0.28996, 200, 1, 100
0.287583, 200, 1, 100
0.296638, 200, 1, 100
0.298394, 200, 1, 100
0.298718, 200, 1, 100
0.281744, 200, 1, 100
0.304763, 200, 1, 100
0.295489, 200, 1, 100
0.292418, 200, 1, 100
0.289601, 200, 1, 100
0.279371, 200, 1, 100
0.295514, 200, 1, 100
0.277436, 200, 1, 100
0.268663, 200, 1, 100
0.280104, 200, 1, 100
0.289993, 200, 1, 100
0.295595, 200, 1, 100
0.277933, 200, 1, 100
0.28211, 200, 1, 100
0.290752, 200, 1, 100
0.294436, 200, 1, 100
0.426588, 300, 1, 100
0.429083, 300, 1, 100
0.439312, 300, 1, 100
0.432739, 300, 1, 100
0.441316, 300, 1, 100
0.429962, 300, 1, 100
0.453675, 300, 1, 100
0.463823, 300, 1, 100
0.446228, 300, 1, 100
0.441833, 300, 1, 100
0.43045, 300, 1, 100
0.43742, 300, 1, 100
0.433818, 300, 1, 100
0.423639, 300, 1, 100
0.425157, 300, 1, 100
0.435889, 300, 1, 100
0.431208, 300, 1, 100
0.433014, 300, 1, 100
0.45388, 300, 1, 100
0.429264, 300, 1, 100
0.430287, 300, 1, 100
0.434191, 300, 1, 100
0.455311, 300, 1, 100
0.451998, 300, 1, 100
0.438182, 300, 1, 100
0.437326, 300, 1, 100
0.445881, 300, 1, 100
0.439782, 300, 1, 100
0.431349, 300, 1, 100
0.455118, 300, 1, 100
0.436441, 300, 1, 100
0.435622, 300, 1, 100
0.433012, 300, 1, 100
0.404481, 300, 1, 100
0.465323, 300, 1, 100
0.421188, 300, 1, 100
0.437638, 300, 1, 100
0.450023, 300, 1, 100
0.409972, 300, 1, 100
0.431678, 300, 1, 100
0.446038, 300, 1, 100
0.451572, 300, 1, 100
0.426673, 300, 1, 100
0.444296, 300, 1, 100
0.426889, 300, 1, 100
0.437381, 300, 1, 100
0.43726, 300, 1, 100
0.448456, 300, 1, 100
0.426817, 300, 1, 100
0.410829, 300, 1, 100
0.560224, 400, 1, 100
0.58242, 400, 1, 100
0.583854, 400, 1, 100
0.570765, 400, 1, 100
0.571725, 400, 1, 100
0.606791, 400, 1, 100
0.565728, 400, 1, 100
0.575966, 400, 1, 100
0.573411, 400, 1, 100
0.585, 400, 1, 100
0.57077, 400, 1, 100
0.54396, 400, 1, 100
0.56564, 400, 1, 100
0.589514, 400, 1, 100
0.577576, 400, 1, 100
0.574262, 400, 1, 100
0.565213, 400, 1, 100
0.584423, 400, 1, 100
0.549001, 400, 1, 100
0.574239, 400, 1, 100
0.554249, 400, 1, 100
0.58, 400, 1, 100
0.575206, 400, 1, 100
0.564967, 400, 1, 100
0.581931, 400, 1, 100
0.568699, 400, 1, 100
0.566877, 400, 1, 100
0.587719, 400, 1, 100
0.561994, 400, 1, 100
0.565492, 400, 1, 100
0.567465, 400, 1, 100
0.581473, 400, 1, 100
0.572269, 400, 1, 100
0.58512, 400, 1, 100
0.562039, 400, 1, 100
0.560853, 400, 1, 100
0.58394, 400, 1, 100
0.599368, 400, 1, 100
0.588386, 400, 1, 100
0.568881, 400, 1, 100
0.59126, 400, 1, 100
0.571541, 400, 1, 100
0.568665, 400, 1, 100
0.588893, 400, 1, 100
0.562678, 400, 1, 100
0.548793, 400, 1, 100
0.563764, 400, 1, 100
0.571841, 400, 1, 100
0.590626, 400, 1, 100
0.566777, 400, 1, 100
0.718059, 500, 1, 100
0.702552, 500, 1, 100
0.718362, 500, 1, 100
0.696276, 500, 1, 100
0.712795, 500, 1, 100
0.721287, 500, 1, 100
0.706088, 500, 1, 100
0.720442, 500, 1, 100
0.687855, 500, 1, 100
0.715514, 500, 1, 100
0.715047, 500, 1, 100
0.725286, 500, 1, 100
0.699894, 500, 1, 100
0.697704, 500, 1, 100
0.734141, 500, 1, 100
0.696144, 500, 1, 100
0.714265, 500, 1, 100
0.715076, 500, 1, 100
0.721484, 500, 1, 100
0.747548, 500, 1, 100
0.715475, 500, 1, 100
0.722723, 500, 1, 100
0.709466, 500, 1, 100
0.707647, 500, 1, 100
0.712556, 500, 1, 100
0.732727, 500, 1, 100
0.688167, 500, 1, 100
0.710574, 500, 1, 100
0.748575, 500, 1, 100
0.756369, 500, 1, 100
0.699706, 500, 1, 100
0.712705, 500, 1, 100
0.686052, 500, 1, 100
0.731386, 500, 1, 100
0.692051, 500, 1, 100
0.726798, 500, 1, 100
0.704984, 500, 1, 100
0.711964, 500, 1, 100
0.705123, 500, 1, 100
0.702514, 500, 1, 100
0.686536, 500, 1, 100
0.683526, 500, 1, 100
0.66772, 500, 1, 100
0.696041, 500, 1, 100
0.672601, 500, 1, 100
0.688195, 500, 1, 100
0.686889, 500, 1, 100
0.712114, 500, 1, 100
0.702458, 500, 1, 100
0.68244, 500, 1, 100
0.829829, 600, 1, 100
0.901714, 600, 1, 100
0.832041, 600, 1, 100
0.896533, 600, 1, 100
0.866375, 600, 1, 100
0.827621, 600, 1, 100
0.872185, 600, 1, 100
0.860316, 600, 1, 100
0.861646, 600, 1, 100
0.830971, 600, 1, 100
0.865638, 600, 1, 100
0.872665, 600, 1, 100
0.844743, 600, 1, 100
0.853434, 600, 1, 100
0.860028, 600, 1, 100
0.85247, 600, 1, 100
0.83957, 600, 1, 100
0.838673, 600, 1, 100
0.837685, 600, 1, 100
0.8565, 600, 1, 100
0.843501, 600, 1, 100
0.874096, 600, 1, 100
0.829075, 600, 1, 100
0.82539, 600, 1, 100
0.858897, 600, 1, 100
0.859792, 600, 1, 100
0.826104, 600, 1, 100
0.850969, 600, 1, 100
0.876298, 600, 1, 100
0.820055, 600, 1, 100
0.849971, 600, 1, 100
0.872235, 600, 1, 100
0.895325, 600, 1, 100
0.848862, 600, 1, 100
0.823302, 600, 1, 100
0.86136, 600, 1, 100
0.845685, 600, 1, 100
0.806659, 600, 1, 100
0.849673, 600, 1, 100
0.852734, 600, 1, 100
0.855546, 600, 1, 100
0.836105, 600, 1, 100
0.859764, 600, 1, 100
0.833802, 600, 1, 100
0.827576, 600, 1, 100
0.845355, 600, 1, 100
0.834842, 600, 1, 100
0.832217, 600, 1, 100
0.862512, 600, 1, 100
0.82425, 600, 1, 100
0.148415, 100, 1, 100
0.15301, 100, 1, 100
0.147644, 100, 1, 100
0.151821, 100, 1, 100
0.146429, 100, 1, 100
0.145439, 100, 1, 100
0.147549, 100, 1, 100
0.142229, 100, 1, 100
0.143306, 100, 1, 100
0.150472, 100, 1, 100
0.137436, 100, 1, 100
0.147407, 100, 1, 100
0.140851, 100, 1, 100
0.137229, 100, 1, 100
0.148535, 100, 1, 100
0.146334, 100, 1, 100
0.1397, 100, 1, 100
0.147962, 100, 1, 100
